"from","to","colour","size","curve","forcecurve","is3d","arrowsize","arrowlength","dash","isdashed","from_name","from_x","from_y","from_z","from_colour","from_shape","from_size","from_shorten","to_name","to_x","to_y","to_z","to_colour","to_shape","to_size","to_shorten","red","green","blue","name"
2,6,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"E",10,0,0,"red","sphere",0.2,0,"L",8.8545602565321,4.64723172043769,0,"red","sphere",0.2,0,0,0,0,"E_L"
3,6,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"F",1.20536680255323,9.92708874098054,0,"red","sphere",0.2,0,"L",8.8545602565321,4.64723172043769,0,"red","sphere",0.2,0,0,0,0,"F_L"
1,3,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"B",-9.70941817426052,2.39315664287558,0,"red","sphere",0.2,0,"F",1.20536680255323,9.92708874098054,0,"red","sphere",0.2,0,0,0,0,"B_F"
1,8,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"B",-9.70941817426052,2.39315664287558,0,"red","sphere",0.2,0,"N",-7.48510748171101,6.63122658240796,0,"red","sphere",0.2,0,0,0,0,"B_N"
3,9,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"F",1.20536680255323,9.92708874098054,0,"red","sphere",0.2,0,"O",-9.70941817426052,-2.39315664287557,0,"red","sphere",0.2,0,0,0,0,"F_O"
9,12,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"O",-9.70941817426052,-2.39315664287557,0,"red","sphere",0.2,0,"X",-3.54604887042535,9.35016242685415,0,"red","sphere",0.2,0,0,0,0,"O_X"
6,13,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"L",8.8545602565321,4.64723172043769,0,"red","sphere",0.2,0,"Y",-7.48510748171101,-6.63122658240795,0,"red","sphere",0.2,0,0,0,0,"L_Y"
3,13,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"F",1.20536680255323,9.92708874098054,0,"red","sphere",0.2,0,"Y",-7.48510748171101,-6.63122658240795,0,"red","sphere",0.2,0,0,0,0,"F_Y"
9,13,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"O",-9.70941817426052,-2.39315664287557,0,"red","sphere",0.2,0,"Y",-7.48510748171101,-6.63122658240795,0,"red","sphere",0.2,0,0,0,0,"O_Y"
11,12,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"W",-3.54604887042536,-9.35016242685415,0,"red","sphere",0.2,0,"X",-3.54604887042535,9.35016242685415,0,"red","sphere",0.2,0,0,0,0,"W_X"
11,13,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"W",-3.54604887042536,-9.35016242685415,0,"red","sphere",0.2,0,"Y",-7.48510748171101,-6.63122658240795,0,"red","sphere",0.2,0,0,0,0,"W_Y"
2,5,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"E",10,0,0,"red","sphere",0.2,0,"K",1.20536680255322,-9.92708874098054,0,"red","sphere",0.2,0,0,0,0,"E_K"
5,13,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"K",1.20536680255322,-9.92708874098054,0,"red","sphere",0.2,0,"Y",-7.48510748171101,-6.63122658240795,0,"red","sphere",0.2,0,0,0,0,"K_Y"
2,10,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"E",10,0,0,"red","sphere",0.2,0,"P",5.68064746731156,-8.22983865893656,0,"red","sphere",0.2,0,0,0,0,"E_P"
8,10,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"N",-7.48510748171101,6.63122658240796,0,"red","sphere",0.2,0,"P",5.68064746731156,-8.22983865893656,0,"red","sphere",0.2,0,0,0,0,"N_P"
1,10,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"B",-9.70941817426052,2.39315664287558,0,"red","sphere",0.2,0,"P",5.68064746731156,-8.22983865893656,0,"red","sphere",0.2,0,0,0,0,"B_P"
9,10,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"O",-9.70941817426052,-2.39315664287557,0,"red","sphere",0.2,0,"P",5.68064746731156,-8.22983865893656,0,"red","sphere",0.2,0,0,0,0,"O_P"
5,10,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"K",1.20536680255322,-9.92708874098054,0,"red","sphere",0.2,0,"P",5.68064746731156,-8.22983865893656,0,"red","sphere",0.2,0,0,0,0,"K_P"
4,7,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"G",8.8545602565321,-4.64723172043769,0,"red","sphere",0.2,0,"M",5.68064746731156,8.22983865893656,0,"red","sphere",0.2,0,0,0,0,"G_M"
4,9,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"G",8.8545602565321,-4.64723172043769,0,"red","sphere",0.2,0,"O",-9.70941817426052,-2.39315664287557,0,"red","sphere",0.2,0,0,0,0,"G_O"
4,10,"black",0.1,0,FALSE,TRUE,0,0,0,FALSE,"G",8.8545602565321,-4.64723172043769,0,"red","sphere",0.2,0,"P",5.68064746731156,-8.22983865893656,0,"red","sphere",0.2,0,0,0,0,"G_P"
