"name","x","y","z","colour","shape","size","shorten","red","green","blue"
"B",-9.70941817426052,2.39315664287558,0,"red","sphere",0.2,0,1,0,0
"E",10,0,0,"red","sphere",0.2,0,1,0,0
"F",1.20536680255323,9.92708874098054,0,"red","sphere",0.2,0,1,0,0
"G",8.8545602565321,-4.64723172043769,0,"red","sphere",0.2,0,1,0,0
"K",1.20536680255322,-9.92708874098054,0,"red","sphere",0.2,0,1,0,0
"L",8.8545602565321,4.64723172043769,0,"red","sphere",0.2,0,1,0,0
"M",5.68064746731156,8.22983865893656,0,"red","sphere",0.2,0,1,0,0
"N",-7.48510748171101,6.63122658240796,0,"red","sphere",0.2,0,1,0,0
"O",-9.70941817426052,-2.39315664287557,0,"red","sphere",0.2,0,1,0,0
"P",5.68064746731156,-8.22983865893656,0,"red","sphere",0.2,0,1,0,0
"W",-3.54604887042536,-9.35016242685415,0,"red","sphere",0.2,0,1,0,0
"X",-3.54604887042535,9.35016242685415,0,"red","sphere",0.2,0,1,0,0
"Y",-7.48510748171101,-6.63122658240795,0,"red","sphere",0.2,0,1,0,0
